Sources,Meand15N,SDd15N,Meand13C,SDd13C,Concd15N,Concd13C,n
daphnia,0.029603597,0.26324181,-44.02911902,0.954601416,0.0907,0.4414,5
chaoburus,7.403348993,0.13734097,-29.5918426,3.316632772,0.1017,0.4157,5
